보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
평리4동 1336-3,1,,대구광역시 서구 평리4동 1336-3,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1218-13,1,,대구광역시 서구 평리4동 1218-13,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1218-8,1,,대구광역시 서구 평리4동 1218-8,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1357-13,1,,대구광역시 서구 평리4동 1357-13,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1427-15,1,,대구광역시 서구 평리4동 1427-15,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1437-6,1,,대구광역시 서구 평리4동 1437-6,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1436-8,1,,대구광역시 서구 평리4동 1436-8,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1436-7,1,,대구광역시 서구 평리4동 1436-7,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1435-3,1,,대구광역시 서구 평리4동 1435-3,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1435-7,1,,대구광역시 서구 평리4동 1435-7,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1434-2,1,,대구광역시 서구 평리4동 1434-2,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1434-1,1,,대구광역시 서구 평리4동 1434-1,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1434-1,1,,대구광역시 서구 평리4동 1434-1,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1433-7,1,,대구광역시 서구 평리4동 1433-7,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1202-25,1,,대구광역시 서구 평리4동 1202-25,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1192-32,1,,대구광역시 서구 평리4동 1192-32,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1193-16,1,,대구광역시 서구 평리4동 1193-16,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1193-7,1,,대구광역시 서구 평리4동 1193-7,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1313-20,1,,대구광역시 서구 평리4동 1313-20,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1192-31,1,,대구광역시 서구 평리4동 1192-31,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1423-10,1,,대구광역시 서구 평리4동 1423-10,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1203-29,1,,대구광역시 서구 평리4동 1203-29,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1229-1,1,,대구광역시 서구 평리4동 1229-1,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1229-6,1,,대구광역시 서구 평리4동 1229-6,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1229-26,1,,대구광역시 서구 평리4동 1229-26,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1229-25,1,,대구광역시 서구 평리4동 1229-25,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1212-14,1,,대구광역시 서구 평리4동 1212-14,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1212-6,1,,대구광역시 서구 평리4동 1212-6,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1213-37,1,,대구광역시 서구 평리4동 1213-37,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1212-4,1,,대구광역시 서구 평리4동 1212-4,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리4동 1212-2,1,,대구광역시 서구 평리4동 1212-2,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리6동 627-33,1,,대구광역시 서구 평리6동 627-33,,,,,053-663-2884,대구광역시 서구청,2019.6.11
내당2·3동 918-9,1,,대구광역시 서구 내당2·3동 918-9,,,,,053-663-2884,대구광역시 서구청,2019.6.11
내당2·3동 1009-1,1,,대구광역시 서구 내당2·3동 1009-1,,,,,053-663-2884,대구광역시 서구청,2019.6.11
내당2·3동 1006-6,1,,대구광역시 서구 내당2·3동 1006-6,,,,,053-663-2884,대구광역시 서구청,2019.6.11
내당2·3동 1006-112,1,,대구광역시 서구 내당2·3동 1006-112,,,,,053-663-2884,대구광역시 서구청,2019.6.11
내당2·3동 1006-138,1,,대구광역시 서구 내당2·3동 1006-138,,,,,053-663-2884,대구광역시 서구청,2019.6.11
내당2·3동 1006-130,1,,대구광역시 서구 내당2·3동 1006-130,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1102-8,1,,대구광역시 서구 평리2동 1102-8,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1104-4,1,,대구광역시 서구 평리2동 1104-4,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1104-6,1,,대구광역시 서구 평리2동 1104-6,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1103-13,1,,대구광역시 서구 평리2동 1103-13,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1103-17,1,,대구광역시 서구 평리2동 1103-17,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1102-28,1,,대구광역시 서구 평리2동 1102-28,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1099-4,1,,대구광역시 서구 평리2동 1099-4,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1100-2,1,,대구광역시 서구 평리2동 1100-2,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1100-4,1,,대구광역시 서구 평리2동 1100-4,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1100-9,1,,대구광역시 서구 평리2동 1100-9,,,,,053-663-2884,대구광역시 서구청,2019.6.11
평리2동 1102-17,1,,대구광역시 서구 평리2동 1102-17,,,,,053-663-2884,대구광역시 서구청,2019.6.11
