"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
630-0706,1,,대구광역시 수성구 파동 68-2,,,2019,한전주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1315,1,,대구광역시 수성구 고산2동 340-0,,,2019,한전주,053-666-2913,대구광역시 수성구청,2019-09-24
560-0593,1,,대구광역시 수성구 만촌2동 산358-3,,,2019,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1314,1,,대구광역시 수성구 고산2동 262-0,,,2019,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1313,1,,대구광역시 수성구 고산2동 262-0,,,2019,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1312,1,,대구광역시 수성구 고산2동 262-0,,,2019,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1311,1,,대구광역시 수성구 고산2동 269-8,,,2019,한전주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1310,1,,대구광역시 수성구 고산2동 269-4,,,2019,한전주,053-666-2913,대구광역시 수성구청,2019-09-24
630-0770,1,,대구광역시 수성구 파동 391-10,,,2019,한전주,053-666-2913,대구광역시 수성구청,2019-09-24
630-0769,1,,대구광역시 수성구 파동 450-12,,,2019,한전주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1309,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1308,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1307,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1306,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1305,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1183,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1182,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1181,1,,대구광역시 수성구 고산2동 818-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1152,1,,대구광역시 수성구 고산2동 746-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1156,1,,대구광역시 수성구 고산2동 1156-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1155,1,,대구광역시 수성구 고산2동 597-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1170,1,,대구광역시 수성구 고산2동 590-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1169,1,,대구광역시 수성구 고산2동 590-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1168,1,,대구광역시 수성구 고산2동 590-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1158,1,,대구광역시 수성구 고산2동 597-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1157,1,,대구광역시 수성구 고산2동 597-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
680-1161,1,,대구광역시 수성구 고산2동 597-0,,,2018,전용주,053-666-2913,대구광역시 수성구청,2019-09-24
